parameter,parameter_label,objective,cell,parameter_value,n_seeds,loss_mean,loss_std,gradient_mean,gradient_std,slope_mean,slope_std,seed_alignment_fraction,seed_qualified_fraction,update_positive_fraction,slope_positive_fraction,interior_fraction,update_nonzero_fraction,secant_consistency_fraction,cv_stencil_valid_fraction,cv_stencil_invalid_fraction,firing_rate_mean_hz,firing_rate_std_hz,spike_count_mean,sim_cv_mean,cv_valid_fraction,loss_sem,gradient_sem,slope_sem,firing_rate_sem_hz,raw_aligned,classification,qualified_status,aligned
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,2,0.0010000000474974,3,1405.6666666666667,73.63649457526702,-194.79514821370444,143.53459536692995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,17.605673187700635,0.24274950968323927,524.6666666666666,0.5966308911641439,1.0,42.51404996521084,82.86973727312102,0.0,0.14015149476126787,False,red,inconclusive,False
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,2,0.0015182418283075,3,1405.6666666666667,73.63649457526702,-791.6925354003906,432.5178330592141,3.8805107275644936e-11,6.721241739457774e-11,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.0,17.605673187700635,0.24274950968323927,524.6666666666666,0.5966308911641439,1.0,42.51404996521084,249.7142873460509,3.880510727564494e-11,0.14015149476126787,False,red,inconclusive,False
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,2,0.0023050580639392,3,1405.6666666666667,73.63649457526702,-4306.622477213542,2108.558257867393,886.4555614393709,2827.2061463878395,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,1.0,0.0,1.0,0.0,17.605673187700635,0.24274950968323927,524.6666666666666,0.5966308911641439,1.0,42.51404996521084,1217.3766777817477,1632.2882296715836,0.14015149476126787,False,red,inconclusive,False
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,2,0.0034996354952454,3,1408.3333333333333,71.45161533046917,-7848.34130859375,1635.2138360585527,689.0005581286969,6793.534862806574,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,17.583302573739136,0.23248223986696773,524.0,0.5928642749786377,1.0,41.25260934507997,944.091148431006,3922.249181790483,0.13422368376900098,False,red,inconclusive,False
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,2,0.0053132930770516,3,1405.3333333333333,61.80884510596631,4889.941813151042,5485.79267861222,1646.6559167087835,2521.3119081761142,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.0,17.527376038835385,0.25185575985588066,522.3333333333334,0.5887467265129089,1.0,35.685353360229534,3167.2238797152436,1455.6801088964887,0.14540899074975044,True,green,inconclusive,True
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,2,0.0080668628215789,3,1423.6666666666667,68.09062588442943,34612.371744791664,3564.0696884390954,3190.8839220781615,2845.33975420073,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,17.449078889970135,0.2620801206639591,520.0,0.5898162325223287,1.0,39.31214118366543,2057.7165940308973,1642.7576730237352,0.1513120282145864,True,green,inconclusive,True
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,2,0.0122474487870931,3,1415.0,86.50433515148244,88439.96875,6335.791200612308,-1771.2182247250603,4077.1588481349754,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.0,17.09114906658613,0.339451492802108,509.3333333333333,0.5862794319788615,1.0,49.943301185778,3657.9707552027785,2353.9487584995927,0.19598241074611739,False,red,inconclusive,False
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,2,0.0185945890843868,3,1406.6666666666667,47.85742714912004,239229.921875,11099.784276116286,-1423.419660959223,5768.484298479012,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.0,15.290314642685367,0.289308348855801,455.6666666666667,0.5837847391764323,1.0,27.630498447267364,6408.463439762514,3330.4359625429875,0.16703225309070285,False,red,inconclusive,False
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,2,0.0282310806214809,3,1391.3333333333333,67.65599258996454,387642.6770833333,25639.97308777316,-1312.1614621958822,3724.371693584166,0.6666666666666666,0.0,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,0.0,12.784805878997348,0.4697828931915029,381.0,0.6545313795407613,1.0,39.06120553410736,14803.245364240594,2150.266999853041,0.27122927984479545,False,red,inconclusive,False
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,2,0.0428616069257259,3,1378.3333333333333,42.453896562428,415746.46875,22390.029871081675,441.58562317216393,1220.6740210692922,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.0,12.057760925248592,0.5158597611981789,359.3333333333333,0.685205320517222,1.0,24.510768608466336,12926.889773232768,704.7564746571388,0.29783177199186467,True,green,inconclusive,True
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,2,0.0650742799043655,3,1433.0,67.84541251993387,419899.7708333333,23283.89747598543,1271.8156840476574,521.0331132387802,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,11.83405478563359,0.5351441769920781,352.6666666666667,0.6857761343320211,1.0,39.17056718166503,13442.964475543838,300.81860818511853,0.308965634641637,True,green,inconclusive,True
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,2,0.0987984910607338,3,1415.0,51.21523210920751,412294.9895833333,17597.954312385133,-324.3764880152521,388.999554086108,0.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.3333333333333333,1.0,0.0,11.766942943749092,0.47731257996603704,350.6666666666667,0.6901889642079672,1.0,29.569128044860125,10160.183659442293,224.58899726625884,0.2755765465309863,False,red,inconclusive,False
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,2,0.1500000059604644,3,1414.6666666666667,39.55165398985649,389975.0729166667,16889.18210176951,-6.510224042903995,231.36497267987875,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,11.621533952999341,0.513672360131316,346.3333333333333,0.6856594483057658,1.0,22.835158077938583,9750.973832849237,133.5786292577784,0.2965688753970857,False,red,inconclusive,False
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,7,0.0010000000474974,3,3099.6666666666665,109.44100389403111,-1501.8636474609375,99.553236431631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,18.28797691352639,0.5965030983735836,545.0,1.3018064101537068,1.0,63.185793058601746,57.477087852500624,0.0,0.34439122441843434,False,red,inconclusive,False
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,7,0.0015182418283075,3,3099.6666666666665,109.44100389403111,-2345.922607421875,513.1685120511561,0.0,2.3283064365386963e-10,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.0,18.28797691352639,0.5965030983735836,545.0,1.3018064101537068,1.0,63.185793058601746,296.2779785723747,1.3442483478915548e-10,0.34439122441843434,False,red,inconclusive,False
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,7,0.0023050580639392,3,3099.6666666666665,109.44100389403111,-4508.381693522136,3203.9201427071866,1329.6833421589497,1759.0057229095687,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,1.0,0.0,1.0,0.0,18.28797691352639,0.5965030983735836,545.0,1.3018064101537068,1.0,63.185793058601746,1849.7841568540584,1015.5624276279318,0.34439122441843434,False,red,inconclusive,False
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,7,0.0034996354952454,3,3103.6666666666665,111.01951780355262,-19749.8408203125,7543.583273478698,-2214.274684969258,1602.7603133503935,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,18.26560629956489,0.5707795408285221,544.3333333333334,1.3006773392359416,1.0,64.09714848918355,4355.289833597285,925.3540983592987,0.3295397215452783,True,green,inconclusive,True
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,7,0.0053132930770516,3,3084.3333333333335,112.03719620435588,-63751.554036458336,32131.716021028114,-16473.690950430057,6644.920125530223,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.0,18.22086507164189,0.589859260804904,543.0,1.2977832158406575,1.0,64.68470538783579,18551.254894265196,3836.4464232184364,0.34055540300970505,True,green,inconclusive,True
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,7,0.0080668628215789,3,3014.6666666666665,159.8572279671249,-99093.1796875,13527.616888366027,-24055.758015038427,17318.041745911076,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.0,17.874120555238637,0.6387388134746811,532.6666666666666,1.279041091601054,1.0,92.29361359872695,7810.173251992253,9998.576063838937,0.3687760259014693,True,green,inconclusive,True
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,7,0.0122474487870931,3,2922.0,191.67420275039623,-65968.71223958333,5653.266672743799,-17889.260170610283,3086.364579011505,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.0,17.203002136393632,0.9216177110439008,512.6666666666666,1.2248093684514363,1.0,110.66315255464818,3263.9150353093723,1781.9134205096186,0.5320962335611229,True,green,inconclusive,True
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,7,0.0185945890843868,3,2849.6666666666665,119.71772355559283,39104.313802083336,14458.858245422962,-7983.366940113017,12548.4981367142,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.0,16.050915517376374,0.7292785840610739,478.3333333333333,1.1567338307698567,1.0,69.11905992159072,8347.825700169587,7244.878777157462,0.4210491868218902,False,red,inconclusive,False
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,7,0.0282310806214809,3,2822.6666666666665,50.89531740085062,89526.31770833333,12547.125767244996,-17524.340665186446,62663.48616033106,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.0,15.055423196089615,0.7199550369340673,448.6666666666667,1.1162229379018147,1.0,29.384425201872553,7244.086439274988,36178.780603027524,0.41566623437831074,False,red,inconclusive,False
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,7,0.0288104899227619,3,2812.0,89.06177631284928,89392.3828125,11460.484607666725,-17734.035580859792,62982.52796322661,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.0,15.055423196089615,0.7176052227484736,448.6666666666667,1.1215395132700603,1.0,51.419840528729765,6616.713873279947,36362.97947381202,0.4143095685257126,False,red,inconclusive,False
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,7,0.0428616069257259,3,2793.0,149.27826365549674,116521.61979166667,22153.93578193745,-89.82009370094359,7106.538396151694,0.3333333333333333,0.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.0,14.507343154032862,0.8006679940571699,432.3333333333333,1.10176420211792,1.0,86.18584570566098,12790.58078731127,4102.961856024592,0.4622658819004248,False,red,inconclusive,False
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,7,0.0650742799043655,3,2835.3333333333335,132.51540790916852,120947.0625,19735.704020536443,442.51387469186255,1952.3482411124671,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,0.0,14.25008109347561,0.8041761224128371,424.6666666666667,1.1006553967793782,1.0,76.50780642813152,11394.414028903495,1127.1887825581753,0.46429130075092095,True,green,inconclusive,True
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,7,0.0987984910607338,3,2775.3333333333335,101.76607162180001,155106.203125,26791.361053461314,-974.3989641068571,982.3327510911711,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.0,13.959263111976107,0.6702789958537674,416.0,1.1049367984135945,1.0,58.754668845216976,15467.999516172347,567.1500782762733,0.3869857586883247,False,red,inconclusive,False
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,7,0.1500000059604644,3,2788.0,64.09368143584827,184880.234375,27760.972784964313,247.38851363035187,913.2199227220248,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,13.959263111976107,0.7006681996517262,416.0,1.1146163940429688,1.0,37.00450423034112,16027.805110365021,527.2477682128903,0.4045309736815346,True,green,inconclusive,True
output_ad,Output adaptation,PSTH SSE,1,0.0,3,989081.3333333334,2862.011413906908,-56461130.666666664,406255.85144996137,-2954457193.004889,12139034.201093664,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,598.1231054886301,1.3954314887644435,17824.666666666668,1.394934058189392,1.0,1652.3830602429348,234551.92519449582,7008474.663703501,0.8056527456738317,True,green,inconclusive,True
output_ad,Output adaptation,PSTH SSE,1,0.0002500000118743,3,250467.0,665.2570931602309,-18019666.0,92361.22773112103,-1753495916.7139838,6663066.845124218,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,317.98709215574416,0.5968176267889989,9476.333333333334,1.545937458674113,1.0,384.08636181636723,53324.77969324706,3846923.436660938,0.34457281748374213,True,green,stable_green,True
output_ad,Output adaptation,PSTH SSE,1,0.0005000000237487,3,112333.33333333333,486.9592727665583,-9061291.0,64225.25194968098,-416555980.21458215,1394763.4740457914,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,224.69044662930773,0.5010967592721288,6696.0,1.5237523714701335,1.0,281.14606721615684,37080.46650191985,805267.0671961954,0.2893083488558127,True,green,stable_green,True
