seed,parameter,parameter_label,objective,cell,parameter_value,loss,analytic_gradient,psth_sse,cv_squared_error,firing_rate_hz,spike_count,sim_cv,cv_valid,numerical_slope,left_secant,right_secant,is_interior,update_nonzero,secants_consistent,cv_stencil_valid,cv_stencil_invalid,seed_qualified,seed_aligned
456,rel_ref_a,Relative refractory a,CV squared error,2,6.0,0.3583820164203644,0.0,1426.0,0.3583820164203644,17.482634810912383,521.0,0.6016587615013123,True,0.0,0.0,0.0,True,False,False,True,False,False,False
456,rel_ref_a,Relative refractory a,CV squared error,2,8.0,0.3583820164203644,0.0,1426.0,0.3583820164203644,17.482634810912383,521.0,0.6016587615013123,True,0.0,0.0,0.0,True,False,False,True,False,False,False
456,rel_ref_a,Relative refractory a,CV squared error,2,10.0,0.3583820164203644,0.0,1426.0,0.3583820164203644,17.482634810912383,521.0,0.6016587615013123,True,6.938893903907228e-18,0.0,0.0,True,False,False,True,False,False,False
456,rel_ref_a,Relative refractory a,CV squared error,2,15.0,0.3583820164203644,0.0,1426.0,0.3583820164203644,17.482634810912383,521.0,0.6016587615013123,True,0.0,0.0,,False,False,False,False,False,False,False
456,rel_ref_a,Relative refractory a,CV squared error,7,0.0010000000474974,0.4323856234550476,-1668504.0,2613.0,0.4323856234550476,14.999496661185866,447.0,1.043264389038086,True,-1.453011599116453,,-1.453011599116453,False,True,False,False,False,False,True
456,rel_ref_a,Relative refractory a,CV squared error,7,0.050000000745058,0.3611880540847778,-11981.9326171875,2700.0,0.3611880540847778,15.368611791550618,458.0,1.0998355150222778,True,-0.6523321824292578,-1.453011599116453,0.1646876310603672,True,True,False,True,False,False,True
456,rel_ref_a,Relative refractory a,CV squared error,7,0.1000000014901161,0.369422435760498,-8562.3310546875,2735.0,0.369422435760498,15.402167712492869,459.0,1.093023419380188,True,0.1170691819885894,0.1646876310603672,-0.025786161678891622,True,True,False,True,False,False,False
456,rel_ref_a,Relative refractory a,CV squared error,7,0.25,0.3655545115470886,-1288.3660888671875,2790.0,0.3655545115470886,15.43572363343512,460.0,1.096213698387146,True,-0.016116351109345395,-0.025786161678891622,0.0,True,True,False,True,False,False,True
456,rel_ref_a,Relative refractory a,CV squared error,7,0.5,0.3655545115470886,-70.84269714355469,2790.0,0.3655545115470886,15.43572363343512,460.0,1.096213698387146,True,0.0,0.0,0.0,True,True,False,True,False,False,False
456,rel_ref_a,Relative refractory a,CV squared error,7,1.0,0.3655545115470886,-0.8120282888412476,2790.0,0.3655545115470886,15.43572363343512,460.0,1.096213698387146,True,0.0,0.0,0.0,True,True,False,True,False,False,False
