seed,sim_len,row_index,init_id,cell,row_kind,offset_index,log_offset,epsilon,center_gain,gain,loss,analytic_gradient_gain,analytic_gradient_log_gain,firing_rate_hz,spike_count
123,29801,6,0,1,center,6,0.0,0.0,0.018534181639552116,0.018534181639552116,12142.0,59263392.0,1098398.4719039798,109.3587463507936,3259.0
123,29801,6,0,2,center,6,0.0,0.0,0.006555918604135513,0.006555918604135513,20573.0,20970788.0,137482.77919258177,102.47978255763229,3054.0
123,29801,6,0,7,center,6,0.0,0.0,0.006742481142282486,0.006742481142282486,23000.0,20358542.0,137267.08551936597,100.39931545921277,2992.0
123,29801,7,0,1,plus,7,0.0025,0.0025,0.018534181639552116,0.01858057640492916,12018.0,61189588.0,1134098.9384413585,109.29163450890908,3257.0
123,29801,7,0,2,plus,7,0.0025,0.0025,0.006555918604135513,0.006572328973561525,20541.0,21256294.0,139354.5332895741,102.47978255763229,3054.0
123,29801,7,0,7,plus,7,0.0025,0.0025,0.006742481142282486,0.006759358569979668,22992.0,20874880.0,140748.48474740982,100.46642730109727,2994.0
123,29801,8,0,1,plus,8,0.005,0.005,0.018534181639552116,0.01862708479166031,12089.0,59082140.0,1095039.1144134477,109.52652595550484,3264.0
123,29801,8,0,2,plus,8,0.005,0.005,0.006555918604135513,0.0065887803211808205,20586.0,21599778.0,141606.38643539697,102.58045032045904,3057.0
123,29801,8,0,7,plus,8,0.005,0.005,0.006742481142282486,0.006776277907192707,22989.0,21316758.0,143727.83882959932,100.36575953827052,2991.0
123,29801,9,0,1,plus,9,0.01,0.01,0.018534181639552116,0.01872045360505581,12230.0,60261600.0,1116899.4402900338,109.3587463507936,3259.0
123,29801,9,0,2,plus,9,0.01,0.01,0.006555918604135513,0.0066218068823218346,20584.0,22236430.0,145780.22512655705,102.64756216234353,3059.0
123,29801,9,0,7,plus,9,0.01,0.01,0.006742481142282486,0.006810244172811508,23067.0,21544398.0,145262.6972368285,100.43287138015502,2993.0
123,29801,10,0,1,plus,10,0.02,0.02,0.018534181639552116,0.01890859752893448,12080.0,62485680.0,1158120.942990929,109.42585819267809,3261.0
123,29801,10,0,2,plus,10,0.02,0.02,0.006555918604135513,0.00668835686519742,20732.0,23227220.0,152275.76372034848,102.91600952988153,3067.0
123,29801,10,0,7,plus,10,0.02,0.02,0.006742481142282486,0.006878688000142574,23211.0,21725822.0,146485.94513558596,100.76843058957752,3003.0
123,29801,11,0,1,plus,11,0.05,0.05,0.018534181639552116,0.019484449177980423,12296.0,68437720.0,1268437.1334768087,109.82852924398509,3273.0
123,29801,11,0,2,plus,11,0.05,0.05,0.006555918604135513,0.006892047822475433,21050.0,23934030.0,156909.5525489375,103.58712794872655,3087.0
123,29801,11,0,7,plus,11,0.05,0.05,0.006742481142282486,0.007088175509124994,23333.0,21392084.0,144235.7229641229,101.10398979900003,3013.0
123,29801,12,0,1,plus,12,0.1,0.1,0.018534181639552116,0.020483439788222313,12511.0,74046336.0,1372388.241167307,110.33186805811884,3288.0
123,29801,12,0,2,plus,12,0.1,0.1,0.006555918604135513,0.0072454106993973255,21538.0,25326874.0,166040.92444119602,104.72802926076305,3121.0
123,29801,12,0,7,plus,12,0.1,0.1,0.006742481142282486,0.007451594341546297,23635.0,23579406.0,158983.7003012225,102.27844703197879,3048.0
123,29801,13,0,1,center_duplicate,-1,0.0,0.0,0.018534181639552116,0.018534181639552116,12142.0,59263392.0,1098398.4719039798,109.3587463507936,3259.0
123,29801,13,0,2,center_duplicate,-1,0.0,0.0,0.006555918604135513,0.006555918604135513,20573.0,20970788.0,137482.77919258177,102.47978255763229,3054.0
