seed,init_id,cell,epsilon,center_gain,gain_minus,gain_plus,actual_log_span,loss_minus,loss_center,loss_plus,fd_gradient_gain,fd_gradient_log_gain,analytic_gradient_gain,analytic_gradient_log_gain,loss_difference_exact_zero,center_firing_rate_hz
123,0,2,0.05,0.0017865144181996,0.0016993851168081,0.0018781109247356,0.09999995475703988,9427.0,9915.0,10517.0,6098727.501302762,10900.004931484884,5592234.0,9990.606670946348,False,72.41367739337606
123,0,2,0.1,0.0017865144181996,0.0016165050910785,0.0019744038581848,0.20000004120816775,8817.0,9915.0,11201.0,6661101.459709484,11919.997543993708,5592234.0,9990.606670946348,False,72.41367739337606
123,0,7,0.0025,0.0159809570759534,0.0159410536289215,0.0160209592431783,0.005000046839955753,43630.0,43657.0,43601.0,-362928.1905874453,-5799.945666160325,232930912.0,3722458.906334698,False,135.43169692292204
123,0,7,0.005,0.0159809570759534,0.0159012507647275,0.0160610619932413,0.010000062354597996,43536.0,43657.0,43652.0,725856.3811740081,11599.927669117342,232930912.0,3722458.906334698,False,135.43169692292204
123,0,7,0.01,0.0159809570759534,0.0158219430595636,0.0161415692418813,0.020000107219289184,43607.0,43657.0,43656.0,153304.08680755354,2449.9868657074876,232930912.0,3722458.906334698,False,135.43169692292204
123,0,7,0.02,0.0159809570759534,0.0156645122915506,0.0163037944585084,0.040000079306292305,43327.0,43657.0,44025.0,1091849.6339755969,17449.965402698577,232930912.0,3722458.906334698,False,135.43169692292204
123,0,7,0.05,0.0159809570759534,0.0152015574276447,0.0168003179132938,0.09999992469214376,42815.0,43657.0,44366.0,970126.5536158724,15510.0116802573,232930912.0,3722458.906334698,False,135.43169692292204
123,0,7,0.1,0.0159809570759534,0.0144601678475737,0.0176616888493299,0.19999999755654047,42143.0,43657.0,45478.0,1041692.3700236793,16675.00020372344,232930912.0,3722458.906334698,False,135.43169692292204
123,1,1,0.0025,0.0065463040955364,0.0065299584530293,0.0065626907162368,0.005000108225534074,43023.0,42866.0,43293.0,8248742.174911052,53998.83118953103,54076488.0,354001.1348666288,False,160.46441394584073
123,1,1,0.005,0.0065463040955364,0.0065136542543768,0.0065791173838078,0.009999972009317562,42732.0,42866.0,43210.0,7301820.187252445,47800.13379583656,54076488.0,354001.1348666288,False,160.46441394584073
123,1,1,0.01,0.0065463040955364,0.0064811673946678,0.006612095516175,0.019999978100315407,42452.0,42866.0,43564.0,8493209.764251065,55600.060881189835,54076488.0,354001.1348666288,False,160.46441394584073
123,1,1,0.02,0.0065463040955364,0.0064166784286499,0.0066785481758415,0.04000001988078809,41809.0,42866.0,43589.0,6797272.380981234,44499.97788263424,54076488.0,354001.1348666288,False,160.46441394584073
123,1,1,0.05,0.0065463040955364,0.0062270374037325,0.0068819401785731,0.09999993231540581,40879.0,42866.0,44495.0,5521430.262499826,36160.02447476582,54076488.0,354001.1348666288,False,160.46441394584073
123,1,1,0.1,0.0065463040955364,0.0059233410283923,0.0072347852401435,0.20000002357248264,39626.0,42866.0,46086.0,4925867.179186998,32299.996193044502,54076488.0,354001.1348666288,False,160.46441394584073
123,1,2,0.0025,0.0059406426735222,0.0059258094988763,0.0059555131010711,0.005000060191766923,4526.0,4535.0,4552.0,875314.7119830362,5199.937401315985,956222.625,5680.576931462449,False,51.7432300929499
123,1,2,0.005,0.0059406426735222,0.0059110135771334,0.0059704203158617,0.010000010826930132,4536.0,4535.0,4521.0,-252496.60764249685,-1499.9983759622385,956222.625,5680.576931462449,False,51.7432300929499
123,1,2,0.01,0.0059406426735222,0.0058815320953726,0.0060003469698131,0.02000000745016929,4524.0,4535.0,4481.0,-361907.54905467207,-2149.9991991070997,956222.625,5680.576931462449,False,51.7432300929499
123,1,2,0.02,0.0059406426735222,0.0058230101130902,0.0060606515035033,0.03999997352888303,4501.0,4535.0,4541.0,168320.84650938422,1000.0006617783622,956222.625,5680.576931462449,False,51.7432300929499
123,1,2,0.05,0.0059406426735222,0.005650914274156,0.0062452256679534,0.09999992820397915,4408.0,4535.0,4768.0,605743.0561775893,3600.002584658606,956222.625,5680.576931462449,False,51.7432300929499
123,1,2,0.1,0.0059406426735222,0.005375315900892,0.0065654260106384,0.20000005229008774,4296.0,4535.0,4872.0,483988.83034674806,2879.9992470229336,956222.625,5680.576931462449,False,51.7432300929499
123,1,7,0.0025,0.0054341284558176,0.0054205600172281,0.0054477308876812,0.00500003676707169,16399.0,16400.0,16402.0,110412.36257698546,599.9955879838406,6968445.0,37867.42526730057,False,86.90983524042817
123,1,7,0.005,0.0054341284558176,0.0054070255719125,0.0054613673128187,0.010000042201906804,16406.0,16400.0,16321.0,-1564175.136507319,-8499.9641285306,6968445.0,37867.42526730057,False,86.90983524042817
123,1,7,0.01,0.0054341284558176,0.0053800581954419,0.005488742608577,0.020000005131456656,16377.0,16400.0,16350.0,-248425.68700663283,-1349.9996536267647,6968445.0,37867.42526730057,False,86.90983524042817
123,1,7,0.02,0.0054341284558176,0.005326525773853,0.0055439048446714,0.039999897226190385,16148.0,16400.0,16483.0,1541086.7234769876,8375.021518321677,6968445.0,37867.42526730057,False,86.90983524042817
