seed,sim_len,row_index,init_id,cell,row_kind,offset_index,log_offset,epsilon,center_gain,gain,loss,analytic_gradient_gain,analytic_gradient_log_gain,firing_rate_hz,spike_count,center_Strf_alpha,center_output_ad,center_on_ron_gSYN,center_off_ron_gSYN,center_on_sonoff_gSYN,center_off_sonoff_gSYN,center_sonoff_ron_gSYN,center_abs_ref,center_rel_ref_a,center_rel_ref_b,center_rel_ref_c
1213,29801,10,0,1,plus,10,0.02,0.02,0.010369358584284782,0.010578833520412445,5429.0,-4018.383544921875,-42.50981054289332,37.179960404013286,1108.0,6.626354694366455,0.0035706069320440292,0.017586013302206993,0.0440235361456871,0.036416418850421906,0.015820348635315895,0.03075505420565605,9.734742164611816,4.234930515289307,6.025596618652344,0.5770443677902222
1213,29801,10,0,2,plus,10,0.02,0.02,0.0017865144181996584,0.0018226043321192265,10334.0,5757105.5,10492.925424767425,72.71568068185631,2167.0,59.34796905517578,0.003477817866951227,0.03811865672469139,0.019889790564775467,0.039781637489795685,0.045002952218055725,0.024391407147049904,3.5100626945495605,4.31492280960083,8.399785995483398,0.2598817050457001
1213,29801,10,0,7,plus,10,0.02,0.02,0.015980957075953484,0.01630379445850849,44188.0,237297056.0,3868842.426633179,135.76725613234456,4046.0,59.11423873901367,0.004803546704351902,0.04223012551665306,0.038019679486751556,0.04160550981760025,0.04478614404797554,0.020792031660676003,4.51259708404541,8.273573875427246,6.738358020782471,0.34646177291870117
1213,29801,11,0,1,plus,11,0.05,0.05,0.010369358584284782,0.010901006869971752,5410.0,-1947.5386962890625,-21.2301327077829,38.15308211133854,1137.0,6.626354694366455,0.0035706069320440292,0.017586013302206993,0.0440235361456871,0.036416418850421906,0.015820348635315895,0.03075505420565605,9.734742164611816,4.234930515289307,6.025596618652344,0.5770443677902222
1213,29801,11,0,2,plus,11,0.05,0.05,0.0017865144181996584,0.0018781109247356653,10709.0,6352070.5,11929.89300074114,74.09147344048857,2208.0,59.34796905517578,0.003477817866951227,0.03811865672469139,0.019889790564775467,0.039781637489795685,0.045002952218055725,0.024391407147049904,3.5100626945495605,4.31492280960083,8.399785995483398,0.2598817050457001
1213,29801,11,0,7,plus,11,0.05,0.05,0.015980957075953484,0.01680031791329384,44767.0,255423760.0,4291200.370608866,136.2034831045938,4059.0,59.11423873901367,0.004803546704351902,0.04223012551665306,0.038019679486751556,0.04160550981760025,0.04478614404797554,0.020792031660676003,4.51259708404541,8.273573875427246,6.738358020782471,0.34646177291870117
1213,29801,12,0,1,plus,12,0.1,0.1,0.010369358584284782,0.011459914036095142,5261.0,-3661.60107421875,-41.961633545020504,39.3275393443173,1172.0,6.626354694366455,0.0035706069320440292,0.017586013302206993,0.0440235361456871,0.036416418850421906,0.015820348635315895,0.03075505420565605,9.734742164611816,4.234930515289307,6.025596618652344,0.5770443677902222
1213,29801,12,0,2,plus,12,0.1,0.1,0.0017865144181996584,0.0019744038581848145,11307.0,6733425.0,13294.500298798084,75.90349317137009,2262.0,59.34796905517578,0.003477817866951227,0.03811865672469139,0.019889790564775467,0.039781637489795685,0.045002952218055725,0.024391407147049904,3.5100626945495605,4.31492280960083,8.399785995483398,0.2598817050457001
1213,29801,12,0,7,plus,12,0.1,0.1,0.015980957075953484,0.01766168884932995,45660.0,283805632.0,5012486.766071439,137.51216402134156,4098.0,59.11423873901367,0.004803546704351902,0.04223012551665306,0.038019679486751556,0.04160550981760025,0.04478614404797554,0.020792031660676003,4.51259708404541,8.273573875427246,6.738358020782471,0.34646177291870117
1213,29801,13,0,1,center_duplicate,-1,0.0,0.0,0.010369358584284782,0.010369358584284782,5406.0,-5366.25439453125,-55.644616071388555,36.94506895741753,1101.0,6.626354694366455,0.0035706069320440292,0.017586013302206993,0.0440235361456871,0.036416418850421906,0.015820348635315895,0.03075505420565605,9.734742164611816,4.234930515289307,6.025596618652344,0.5770443677902222
1213,29801,13,0,2,center_duplicate,-1,0.0,0.0,0.0017865144181996584,0.0017865144181996584,9983.0,6414688.0,11459.93260025233,71.87678265830006,2142.0,59.34796905517578,0.003477817866951227,0.03811865672469139,0.019889790564775467,0.039781637489795685,0.045002952218055725,0.024391407147049904,3.5100626945495605,4.31492280960083,8.399785995483398,0.2598817050457001
1213,29801,13,0,7,center_duplicate,-1,0.0,0.0,0.015980957075953484,0.015980957075953484,43911.0,222467776.0,3555247.9790388346,135.46525284386428,4037.0,59.11423873901367,0.004803546704351902,0.04223012551665306,0.038019679486751556,0.04160550981760025,0.04478614404797554,0.020792031660676003,4.51259708404541,8.273573875427246,6.738358020782471,0.34646177291870117
1213,29801,14,1,1,minus,0,-0.1,0.1,0.00654630409553647,0.005923341028392315,39613.0,40469812.0,239716.49783092365,155.4981376463877,4634.0,82.565185546875,0.0040601445361971855,0.0467863455414772,0.03732769191265106,0.025265473872423172,0.03627234324812889,0.04088784381747246,1.3129640817642212,5.302206039428711,8.969371795654297,0.42847421765327454
1213,29801,14,1,2,minus,0,-0.1,0.1,0.005940642673522234,0.005375315900892019,4002.0,796045.6875,4278.997041855269,49.36075970605013,1471.0,22.052663803100586,0.004763214383274317,0.012258819304406643,0.038533229380846024,0.03268948569893837,0.03575180843472481,0.025060711428523064,9.433023452758789,8.444083213806152,6.955045700073242,0.8759985566139221
1213,29801,14,1,7,minus,0,-0.1,0.1,0.005434128455817699,0.004917002748697996,15819.0,6540965.5,32161.945342638763,85.3998187980269,2545.0,74.29742431640625,0.0021332968026399612,0.03313383460044861,0.024333057925105095,0.031500790268182755,0.029038436710834503,0.030220912769436836,8.710350036621094,3.6867733001708984,8.966926574707031,0.9366800785064697
1213,29801,15,1,1,minus,1,-0.05,0.05,0.00654630409553647,0.006227037403732538,41464.0,45265268.0,281868.51692597754,158.35039092647898,4719.0,82.565185546875,0.0040601445361971855,0.0467863455414772,0.03732769191265106,0.025265473872423172,0.03627234324812889,0.04088784381747246,1.3129640817642212,5.302206039428711,8.969371795654297,0.42847421765327454
1213,29801,15,1,2,minus,1,-0.05,0.05,0.005940642673522234,0.005650914274156094,4136.0,813117.8125,4594.859053226828,49.96476628301063,1489.0,22.052663803100586,0.004763214383274317,0.012258819304406643,0.038533229380846024,0.03268948569893837,0.03575180843472481,0.025060711428523064,9.433023452758789,8.444083213806152,6.955045700073242,0.8759985566139221
1213,29801,15,1,7,minus,1,-0.05,0.05,0.005434128455817699,0.005169102922081947,16195.0,6714945.0,34710.24182111956,86.54072011006342,2579.0,74.29742431640625,0.0021332968026399612,0.03313383460044861,0.024333057925105095,0.031500790268182755,0.029038436710834503,0.030220912769436836,8.710350036621094,3.6867733001708984,8.966926574707031,0.9366800785064697
1213,29801,16,1,1,minus,2,-0.02,0.02,0.00654630409553647,0.006416678428649902,42253.0,48024268.0,308156.2845273018,159.59196000134222,4756.0,82.565185546875,0.0040601445361971855,0.0467863455414772,0.03732769191265106,0.025265473872423172,0.03627234324812889,0.04088784381747246,1.3129640817642212,5.302206039428711,8.969371795654297,0.42847421765327454
