init_id,cell,log_offset,epsilon,center_gain,gain_mean,loss_mean,loss_ci_low,loss_ci_high,loss_sem,delta_loss_mean,delta_loss_ci_low,delta_loss_ci_high,delta_loss_sem,analytic_log_mean,analytic_log_ci_low,analytic_log_ci_high,firing_rate_mean_hz
0,1,0.02,0.02,0.0103693585842847,0.0105788335204124,5437.25,5359.4252849884615,5515.0747150115385,32.91208527490862,2.0,-32.03568976873052,36.03568976873052,14.393699018270857,-67.24512923842317,-162.0659624639407,27.57570398709437,37.60779839602697
0,1,0.05,0.05,0.0103693585842847,0.0109010068699717,5372.75,5294.034861216056,5451.465138783944,33.28864564038958,-62.5,-138.10725262571538,13.107252625715361,31.97432005308546,-67.24512923842317,-162.0659624639407,27.57570398709437,38.24536089392973
0,1,0.1,0.1,0.0103693585842847,0.0114599140360951,5264.875,5189.419190807611,5340.330809192389,31.910274599257207,-170.375,-235.01551841129083,-105.73448158870917,27.33648628011393,-67.24512923842317,-162.0659624639407,27.57570398709437,39.512096909499675
0,2,-0.1,0.1,0.0017865144181996,0.0016165050910785,8780.0,8626.472320356163,8933.527679643837,64.92688195193112,-1239.125,-1333.5318617561902,-1144.7181382438098,39.9246779663191,10350.350156595843,9564.49093860573,11136.209374585957,68.349216469246
0,2,-0.05,0.05,0.0017865144181996,0.0016993851168081,9438.5,9324.992757867134,9552.007242132866,48.002232090958906,-580.625,-703.2137518986792,-458.0362481013208,51.84280412251747,10350.350156595843,9564.49093860573,11136.209374585957,70.36676621589879
0,2,-0.02,0.02,0.0017865144181996,0.0017511390615254,9786.25,9622.259703655767,9950.240296344233,69.35152434208948,-232.875,-291.6406829978162,-174.1093170021838,24.852017380026574,10350.350156595843,9564.49093860573,11136.209374585957,71.3944162947552
0,2,-0.01,0.01,0.0017865144181996,0.0017687382642179,9861.125,9678.33937191632,10043.91062808368,77.30007334592713,-158.0,-195.3131413171548,-120.68685868284521,15.7797338380595,10350.350156595843,9564.49093860573,11136.209374585957,71.70480856347102
0,2,-0.005,0.005,0.0017865144181996,0.0017776041058823,9937.75,9747.820077178252,10127.679922821748,80.32139681127492,-81.375,-124.35827168545737,-38.39172831454264,18.177632939569282,10350.350156595843,9564.49093860573,11136.209374585957,71.90614408912452
0,2,-0.0025,0.0025,0.0017865144181996,0.0017820536158978,9988.125,9809.611284749764,10166.638715250236,75.49348067879768,-31.0,-59.40714244113302,-2.592857558866978,12.01338539177981,10350.350156595843,9564.49093860573,11136.209374585957,72.0445622630113
0,2,0.0,0.0,0.0017865144181996,0.0017865144181996,10019.125,9840.848596523798,10197.401403476202,75.39312148901345,0.0,0.0,0.0,0.0,10350.350156595843,9564.49093860573,11136.209374585957,72.1368410456025
0,2,0.0025,0.0025,0.0017865144181996,0.0017909863963723,10064.25,9880.98412904559,10247.51587095441,77.5031681380095,45.125,-2.6264389550099807,92.87643895500997,20.19409169251527,10350.350156595843,9564.49093860573,11136.209374585957,72.27525921948927
0,2,0.005,0.005,0.0017865144181996,0.0017954693175852,10102.25,9921.236645563064,10283.263354436936,76.55057851792219,83.125,14.891822726928524,151.35817727307148,28.855822326574874,10350.350156595843,9564.49093860573,11136.209374585957,72.36753800208047
0,2,0.01,0.01,0.0017865144181996,0.001804469153285,10176.375,9996.362154744054,10356.387845255946,76.12746301434193,157.25,77.02216610565881,237.4778338943412,33.9283646610241,10350.350156595843,9564.49093860573,11136.209374585957,72.55629005738061
0,2,0.02,0.02,0.0017865144181996,0.0018226043321192,10313.75,10145.789286047515,10481.710713952485,71.03061462697416,294.625,213.66968217332067,375.58031782667933,34.23601774030218,10350.350156595843,9564.49093860573,11136.209374585957,73.00090600986545
0,2,0.05,0.05,0.0017865144181996,0.0018781109247356,10654.625,10480.393095109905,10828.856904890095,73.68270234593733,635.5,581.9070252324764,689.0929747675236,22.664478185666916,10350.350156595843,9564.49093860573,11136.209374585957,74.15439079225528
0,2,0.1,0.1,0.0017865144181996,0.0019744038581848,11280.5,11092.764831843437,11468.235168156563,79.39323468838963,1261.375,1179.562103790826,1343.187896209174,34.59868778477836,10350.350156595843,9564.49093860573,11136.209374585957,76.16355155867252
0,7,-0.1,0.1,0.0159809570759534,0.0144601678475737,42083.875,41947.28600993979,42220.46399006021,57.763507233002585,-1613.375,-1778.7200102014003,-1448.0299897985997,69.92443306374184,3600521.7427777834,3506935.7141360645,3694107.7714195023,133.0827824569645
0,7,-0.05,0.05,0.0159809570759534,0.0152015574276447,42938.875,42685.217601216194,43192.532398783806,107.27175728361256,-758.375,-962.7870305352985,-553.9629694647015,86.44588263763636,3600521.7427777834,3506935.7141360645,3694107.7714195023,134.38726888359452
0,7,-0.02,0.02,0.0159809570759534,0.0156645122915506,43399.375,43110.26646376652,43688.48353623348,122.26404936798528,-297.875,-512.2904147255746,-83.45958527442545,90.67631552080493,3600521.7427777834,3506935.7141360645,3694107.7714195023,134.96191402973054
0,7,-0.01,0.01,0.0159809570759534,0.0158219430595636,43581.5,43303.72385989424,43859.27614010576,117.47157710940732,-115.75,-279.3660286508459,47.86602865084589,69.19324647061197,3600521.7427777834,3506935.7141360645,3694107.7714195023,135.20099996644404
