epoch,median_scaled_RMS_step,p90_scaled_RMS_step,p95_scaled_RMS_step,median_scaled_max_step,median_SSE_parameter_step,median_CV_parameter_step,fraction_rolling_step_below_tolerance,median_rolling_diameter,rolling_symmetric_SSE_change,rolling_symmetric_CV_change
67,0.003546868,0.02598793,0.04462199,0.009439811,0.001320559,0.001887958,0.2633333,0.01795316,0.02851943,0.08573048
68,0.003242363,0.02421167,0.04036415,0.009120196,0.001230915,0.00169423,0.2658333,0.01713608,0.02356025,0.07783756
69,0.003308848,0.02433385,0.03655337,0.008824473,0.001295468,0.001892942,0.285,0.01640722,0.02251834,0.08185969
70,0.003101053,0.02303672,0.03360496,0.00854299,0.001562321,0.001486152,0.2908333,0.01624102,0.02410438,0.09302281
71,0.002837203,0.02763533,0.0417557,0.007681747,0.001209212,0.00152429,0.2925,0.01500505,0.02014234,0.1274063
72,0.003831378,0.02662143,0.04480898,0.01023881,0.001000155,0.002078178,0.2841667,0.01465065,0.01768015,0.1690949
73,0.00260558,0.02593224,0.03650982,0.007388767,0.0008992128,0.001322334,0.2983333,0.01382859,0.01789176,0.2092777
74,0.00338723,0.02384426,0.03721499,0.009261335,0.0008277163,0.00212191,0.2916667,0.01377812,0.0145749,0.2125044
75,0.00361222,0.02057937,0.03150721,0.009970671,0.0008468993,0.002370332,0.265,0.01370646,0.01394014,0.1954572
76,0.002582461,0.02093666,0.03572661,0.007026475,0.0007001891,0.001415589,0.2666667,0.01324246,0.0130376,0.1827592
77,0.002443999,0.02033462,0.03392662,0.006864598,0.0005780027,0.001360172,0.2925,0.01276631,0.01218996,0.173596
78,0.002384028,0.0214156,0.03453455,0.006809647,0.0004776283,0.001428458,0.3,0.01326384,0.01288197,0.1487223
79,0.003939647,0.02885402,0.04322653,0.0108818,0.0009981464,0.002468109,0.2983333,0.01380883,0.01476217,0.1481533
80,0.002616121,0.02300403,0.0348106,0.007323244,0.001024719,0.00127937,0.3183333,0.01291637,0.01588983,0.1161344
81,0.002840094,0.02016066,0.0309665,0.007750907,0.0009591285,0.001795483,0.3041667,0.0127261,0.01595564,0.09786348
82,0.002745441,0.0191889,0.02948422,0.00756044,0.0005438338,0.001935711,0.2791667,0.01351163,0.01690287,0.113231
83,0.002926354,0.02123422,0.03230738,0.008007336,0.0007145939,0.00177836,0.27,0.01408083,0.01618369,0.112745
84,0.002376608,0.02069065,0.03444046,0.007039678,0.0005717506,0.001634995,0.2908333,0.01213834,0.01601994,0.087293
85,0.002189073,0.01937389,0.03220991,0.005795969,0.001064379,0.0009877897,0.31,0.01112671,0.0169574,0.08560772
86,0.003003629,0.02119541,0.03579154,0.008291876,0.0005051476,0.001888047,0.305,0.01107882,0.01733388,0.1045797
87,0.003240378,0.02789371,0.04226723,0.00906949,0.000735787,0.002176193,0.3125,0.01141635,0.02006508,0.0997679
